0.181166 0.386519 
0.294343 0.066794 
0.383080 0.283429 
0.305546 0.216409 
0.104937 0.725294 
0.332742 0.506736 
0.312974 0.242169 
0.637332 0.554258 
0.472714 0.548330 
0.644318 0.978524 
0.349026 0.155794 
0.421881 0.249609 
0.508274 0.031812 
0.568975 0.995729 
0.902044 0.876301 
0.470467 0.949096 
0.676310 0.411234 
0.682807 0.548917 
0.896346 0.569386 
0.448885 0.336343 
0.053701 0.820556 
0.575262 0.936775 
0.562410 0.692491 
0.892165 0.837254 
0.179879 0.882260 
0.197922 0.475182 
0.313802 0.699774 
0.093792 0.441478 
0.097602 0.864603 
0.758862 0.885864 
0.218485 0.253168 
0.001646 0.451441 
0.736835 0.866866 
0.546778 0.154555 
0.203571 0.300742 
0.350520 0.396132 
0.610866 0.012958 
0.854163 0.511853 
0.136441 0.840594 
0.733730 0.647604 
0.985168 0.028247 
0.329027 0.928256 
0.304101 0.520546 
0.163982 0.453940 
0.245944 0.844025 
0.619770 0.128142 
0.566518 0.430952 
0.896334 0.153208 
0.136692 0.018561 
0.087984 0.615723 
0.588604 0.529926 
0.883720 0.258706 
0.847513 0.783187 
0.649134 0.569315 
0.059417 0.097386 
0.208198 0.906597 
0.633341 0.416456 
0.461206 0.698508 
0.686056 0.446269 
0.178699 0.832800 
0.703613 0.418871 
0.216562 0.272134 
0.003629 0.826377 
0.508737 0.596779 
0.567373 0.605272 
0.202421 0.513204 
0.671583 0.038285 
0.085184 0.195683 
0.834145 0.751476 
0.080518 0.420245 
0.930595 0.731815 
0.311885 0.513030 
0.662373 0.826287 
0.496661 0.812785 
0.273110 0.695579 
0.859522 0.221940 
0.613591 0.109542 
0.166065 0.011986 
0.134559 0.651158 
0.875808 0.813696 
0.611914 0.641393 
0.990485 0.055722 
0.541139 0.147484 
0.307752 0.348183 
0.024840 0.467521 
0.048340 0.710667 
0.153996 0.108045 
0.960365 0.323548 
0.572765 0.039567 
0.959170 0.782263 
0.028537 0.415551 
0.263883 0.738206 
0.840997 0.899539 
0.158922 0.336687 
0.661481 0.625739 
0.444179 0.969079 
0.609513 0.421518 
0.032730 0.437244 
0.527218 0.484034 
0.888738 0.515772 
